chunk_id,content,metadata
01d9b595-92e2-40c4-af75-f95c90da563e,"## 4.2.1 Unit Location Recommendations
4. **Vent opening**: There's a visible opening for airflow outside.","{""source"": ""testing1.md"", ""section"": ""4.2.1 Unit Location Recommendations"", ""position"": 77}"
022d564f-445f-434c-8d57-6d56b3acb128,"## 2 Model Descriptions
Exhaust-air AHU AHU with cross-flow exchanger","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 27}"
08fc5da6-0e2f-43de-8f06-fe0456fcedef,"## 4.2.1 Unit Location Recommendations
- 3. The installer must provide external rigging for ceiling mounted units.","{""source"": ""testing1.md"", ""section"": ""4.2.1 Unit Location Recommendations"", ""position"": 71}"
0b9f11bd-2b45-459f-8e44-de7113f43bf9,"![Image](https://donbmmphywrzdqombofg.supabase.co/storage/v1/object/public/kb.files/testing1/image_000007_dcc60060547e972d97e238efca87ed01831536068a5012f54a2270c56055df3b.png)

*Image Description:* The image shows a cautionary sign with a yellow triangle containing an exclamation mark inside it. The background is white, and the sign is designed to alert viewers to potential dangers.","{""source"": ""testing1.md"", ""section"": ""1 Warming, Cautions and Notices"", ""position"": 5}"
0ba137c0-ffb0-4a8b-b862-17f1908ab84f,"## 4.1.1 Receiving Checklist
-  Compare the electrical data on the unit nameplate with the ordering and shipping information to verify the correct unit is received.","{""source"": ""testing1.md"", ""section"": ""4.1.1 Receiving Checklist"", ""position"": 62}"
0c5d51e9-d525-4a68-87d4-5286228d67e1,"## 4.2 Installation Preparation
The units are designed for suspended installation. Suspension of units requires external rigging which shall be field-mounted. Ensure the ceiling opening is large enough for unit installation and maintenance requirements. By default the AHU is positioned horizontalsuspended and also it is possible to set the unit in a vertical position - on a wall.","{""source"": ""testing1.md"", ""section"": ""4.2 Installation Preparation"", ""position"": 65}"
0cb395b3-44fc-43a3-a446-6c392d5c4715,"![Image](https://donbmmphywrzdqombofg.supabase.co/storage/v1/object/public/kb.files/testing1/image_000030_5d37dbb319ad0de01a4bd54b47dbf475713fbd5a6ee9d5ee8676db063ab239c6.png)

*Image Description:* The image appears to be a technical drawing showing a rectangular section with annotated dimensions labeled as “L.” It features angular markers at the intersections of the edges, likely indicating precise locations for cut or mounting points.","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 45}"
0e68e4d3-7114-4fba-81f0-3f064293a21a,"![Image](https://donbmmphywrzdqombofg.supabase.co/storage/v1/object/public/kb.files/testing1/image_000023_7bd93289da28a9bc62c79d58ea47e1a150a28b08c37e09c883d5d4d88959305b.png)

*Image Description:* The image shows two arrows pointing downward, each with a different stroke style: one is thicker and black, and the other is thinner and grey.","{""source"": ""testing1.md"", ""section"": ""General Information"", ""position"": 32}"
125119c1-1484-48dc-a71a-9d8fc18f6bb9,"![Image](https://donbmmphywrzdqombofg.supabase.co/storage/v1/object/public/kb.files/testing1/image_000018_34134db9d995f5bbcb5b23251ccb96a028f770440aadd6e07ac1791abdc481e3.png)

*Image Description:* The image depicts a representation of a heat exchanger, specifically a counter-flow type. It is a cylindrical structure with four sections where air flows in parallel. The inner section is shaded, indicating where heat transfer occurs, while the outer sections are darker, showing the flow direction away from and towards the heating surface. The design suggests efficient energy use in HVAC systems.","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 21}"
164db606-b3c8-4d82-886a-1755371a5486,"![Image](https://donbmmphywrzdqombofg.supabase.co/storage/v1/object/public/kb.files/testing1/image_000028_91c9ed4692dad6cac8e847166937b61d43368ac34ee324285c6c12c15bd440d5.png)

*Image Description:* The image is a technical drawing of the section of a FHEV (Fuel-Efficient Hybrid Electric Vehicle). Here are the details:","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 43}"
1b64ec46-eb44-4502-98a6-dfa0bc56dd94,"## 4.1.1 Receiving Checklist
-  Do not continue unpacking the shipment if it appears damaged. Retain all internal packing, cartons, and crate. Take photos of damaged material if possible.","{""source"": ""testing1.md"", ""section"": ""4.1.1 Receiving Checklist"", ""position"": 56}"
28a8c78a-fb65-47d3-ae57-5c2e096b61b8,"## SAFETY WARNING!
-  When working on the equipment, observe all precautions in the literature and on the tags, stickers, and labels that are attached to the equipment.","{""source"": ""testing1.md"", ""section"": ""SAFETY WARNING!"", ""position"": 11}"
3100d6ab-9f67-410a-afc3-6262a07e904c,"## 4.2.1 Unit Location Recommendations
7. **Outlet of the Exhaust Air**: The air is also drawn out through this. All components facilitate efficient airflow and cooling.","{""source"": ""testing1.md"", ""section"": ""4.2.1 Unit Location Recommendations"", ""position"": 80}"
